Województwo,Kwartał,Rok,Ludność,Ludność_100tys
LUBUSKIE,1,2019,1011599,10.11599
LUBUSKIE,2,2019,1013031,10.13031
LUBUSKIE,3,2019,1011902,10.11902
LUBUSKIE,4,2019,1011592,10.11592
LUBUSKIE,1,2020,993336,9.93336
LUBUSKIE,2,2020,996361,9.96361
LUBUSKIE,3,2020,993633,9.93633
LUBUSKIE,4,2020,993329,9.93329
LUBUSKIE,1,2021,985494,9.85494
LUBUSKIE,2,2021,989432,9.89432
LUBUSKIE,3,2021,985789,9.85789
LUBUSKIE,4,2021,985487,9.85487
LUBUSKIE,1,2022,979983,9.79983
LUBUSKIE,2,2022,982655,9.82655
LUBUSKIE,3,2022,980276,9.80276
LUBUSKIE,4,2022,979976,9.79976
LUBUSKIE,1,2023,975030,9.7503
LUBUSKIE,2,2023,977493,9.77493
LUBUSKIE,3,2023,975322,9.75322
LUBUSKIE,4,2023,975023,9.75023
LUBUSKIE,1,2024,969826,9.69826
LUBUSKIE,2,2024,972140,9.7214
LUBUSKIE,3,2024,970116,9.70116
LUBUSKIE,4,2024,969819,9.69819
LUBELSKIE,1,2016,2137964,21.37964
LUBELSKIE,2,2016,2135715,21.35715
LUBELSKIE,3,2016,2135547,21.35547
LUBELSKIE,4,2016,2133340,21.3334
LUBELSKIE,1,2017,2130926,21.30926
LUBELSKIE,2,2017,2129260,21.2926
LUBELSKIE,3,2017,2128517,21.28517
LUBELSKIE,4,2017,2126317,21.26317
LUBELSKIE,1,2018,2122209,21.22209
LUBELSKIE,2,2018,2121613,21.21613
LUBELSKIE,3,2018,2119810,21.1981
LUBELSKIE,4,2018,2117619,21.17619
LUBELSKIE,1,2019,2112840,21.1284
LUBELSKIE,2,2019,2112216,21.12216
LUBELSKIE,3,2019,2110451,21.10451
LUBELSKIE,4,2019,2108270,21.0827
LUBELSKIE,1,2020,2061366,20.61366
LUBELSKIE,2,2020,2064992,20.64992
LUBELSKIE,3,2020,2059036,20.59036
LUBELSKIE,4,2020,2056908,20.56908
LUBELSKIE,1,2021,2042717,20.42717
LUBELSKIE,2,2021,2048320,20.4832
LUBELSKIE,3,2021,2040408,20.40408
LUBELSKIE,4,2021,2038299,20.38299
